"b_RE[1]","b_RE[2]","b_RE[3]","b_HIV","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]"
0.8831,1.6643,2.3166,2.0919,-0.7061,-0.2874,-0.4959,0.9251,0.3498,0.871
1.9648,2.5846,4.0065,1.3849,-0.2813,-0.55,-0.1406,0.795,0.2183,0.5057
1.4135,1.0333,3.108,1.8755,-0.0813,-1.0523,-0.1567,0.9014,1.1547,0.6024
1.7847,1.5664,3.9451,1.4775,-0.5218,-0.5674,-0.171,1.0068,0.0558,0.5141
0.9771,2.8192,1.9547,1.5006,-0.5143,-0.3024,-0.2475,1.1299,0.0172,0.5726
1.5247,1.6206,3.1299,1.8778,-0.8692,-0.06,-0.419,0.906,-0.0479,0.5731
1.7549,1.458,4.6067,2.0995,-0.489,-0.5507,-0.3579,0.9352,0.3303,0.6857
1.1439,1.9717,3.1483,1.5128,-0.2457,-0.5484,-0.5015,1.5252,0.0485,0.685
2.0993,1.7344,5.2071,1.4213,-0.4473,-0.483,-0.2642,0.6018,-0.0171,0.4123
1.4718,1.9695,4.0984,1.7804,-0.3006,-0.8817,-0.5084,0.9574,0.3473,0.5675
1.3871,1.8742,3.6083,1.7893,-0.3189,-0.082,-0.4977,1.4058,-0.7478,0.4381
0.971,2.0583,3.7389,1.638,-0.7616,-0.5215,-0.5078,0.7899,0.299,0.8235
1.7105,1.5816,3.0724,2.182,-0.5999,-0.3189,-0.5399,1.0066,-0.2021,0.3363
1.8843,2.4638,4.4769,1.1183,-0.8161,-0.1107,-0.2515,0.9228,-0.3382,0.4108
1.0793,1.3174,4.6297,1.6495,-0.2347,-0.6718,-0.3988,1.2433,0.2954,0.5691
1.5729,1.3628,3.1164,1.3035,-0.6019,-0.6513,-0.3004,1.2475,0.2416,0.5583
1.011,1.6937,2.0511,1.6966,-0.5293,-0.7925,-0.535,1.2257,-0.09,0.7283
1.1957,1.5502,3.9448,1.3695,-0.7641,-0.4518,-0.0431,0.8751,-0.0577,0.4764
1.2614,1.616,2.0773,1.7621,-0.4703,-0.6243,-0.4741,1.498,0.0905,0.6252
1.4203,1.9194,3.2304,1.4063,-0.5204,0.005,-0.4532,0.73,-0.2272,0.692
0.7494,2.0345,2.6003,1.6615,-0.7238,-0.6434,-0.5361,0.7792,0.5298,0.5522
1.8815,1.7931,4.9148,0.9759,-0.4659,-1.1123,-0.2412,1.1223,0.0723,0.3655
0.9946,1.6229,2.8274,1.9057,-0.5427,-0.5336,-0.0354,0.9547,0.249,0.3031
1.4517,1.2986,2.6053,0.7933,-0.7506,-0.5817,0.2397,0.9427,-0.0764,0.3874
1.7363,2.0022,2.9457,1.1803,-0.4499,-0.3909,-0.6818,1.1297,0.0512,0.7896
